year,country,final_televote_points,final_jury_points,final_total_points,is_champion,direct_qualifier_10,qualified_10,artist_name,song_name,language,style,semi_final,semi_draw_position,final_draw_position,final_place,gender,main_singers,age,selection,key,BPM,energy,danceability,happiness,loudness,acousticness,instrumentalness,liveness,speechiness,release_date,key_change_10,backing_dancers,backing_singers,backing_instruments,instrument_10,final_televote_votes,final_jury_votes,semi_place,semi_televote_points,semi_jury_points,semi_total_points,favourite_10,race,host_10
2023,Sweden,243,340,583,1,0,1,Loreen,Tattoo,English,Pop,1,11,9,1.0,Female,1,unknown,unknown,Eb Minor,150,78,55,30,6 dB,24,0,12,8,unknown,unknown,0,0,0,0,36.0,36.0,2.0,135.0,,135.0,1,unknown,0
2023,Finland,376,150,526,0,0,1,K‰‰rij‰,Cha Cha Cha,Finnish,Pop,1,15,13,2.0,Male,1,unknown,unknown,D Major,155,79,72,74,6 dB,0,0,11,4,unknown,unknown,4,0,0,0,37.0,22.0,1.0,177.0,,177.0,0,unknown,0
2023,Israel,185,177,362,0,0,1,Noa Kirel,Unicorn,English,Pop,1,9,23,3.0,Female,1,unknown,unknown,Fs Minor,130,87,68,28,5 dB,2,0,32,10,unknown,unknown,5,0,0,0,30.0,25.0,3.0,127.0,,127.0,0,unknown,0
2023,Italy,174,176,350,0,1,1,Marco Mengoni,Due vite,Italian,Ballad,1,-,11,4.0,Male,1,unknown,unknown,D Major,117,54,64,13,6 dB,40,0,9,3,unknown,unknown,2,0,0,0,29.0,27.0,,,,125.5,0,unknown,0
2023,Norway,216,52,268,0,0,1,Alessandra,Queen of Kings,English,Pop,1,1,20,5.0,Female,1,unknown,unknown,E Minor,110,36,64,23,10 dB,58,0,10,3,unknown,unknown,4,0,0,0,36.0,11.0,6.0,102.0,,102.0,0,unknown,0
2023,Ukraine,189,54,243,0,1,1,Tvorchi,Heart of Steel,"English, Ukrainian",Pop,1,-,19,6.0,Male,1,unknown,unknown,Ab Minor,78,52,53,34,8 dB,1,0,9,5,unknown,unknown,2,0,1,0,28.0,10.0,,,,125.5,0,unknown,0
2023,Belgium,55,127,182,0,0,1,Gustaph,Because of You,English,Pop,2,5,16,7.0,Male,1,unknown,unknown,C Minor,127,91,74,7,6 dB,0,82,10,4,unknown,unknown,1,3,0,0,13.0,22.0,8.0,90.0,,90.0,0,unknown,0
2023,Estonia,22,146,168,0,0,1,Alika,Bridges,English,Ballad,2,4,12,8.0,Female,1,unknown,unknown,C Minor,140,47,59,33,5 dB,84,0,14,3,unknown,unknown,0,0,0,1,4.0,22.0,10.0,74.0,,74.0,0,unknown,0
2023,Australia,21,130,151,0,0,1,Voyager,Promise,English,Rock,2,16,15,9.0,Male,1,unknown,unknown,C Major,122,70,62,33,8 dB,0,0,10,7,unknown,unknown,0,0,4,0,6.0,23.0,1.0,149.0,,149.0,0,unknown,0
2023,Czech Republic,35,94,129,0,0,1,Vesna,My Sister's Crown,"English,†Ukrainian,†Czech,†Bulgarian",Pop,1,13,14,10.0,Female,6,unknown,unknown,E Minor,150,92,55,51,6 dB,5,0,37,16,unknown,unknown,0,0,0,0,12.0,18.0,4.0,110.0,,110.0,0,unknown,0
2023,Lithuania,46,81,127,0,0,1,Monika Linkyte,Stay,English,Ballad,2,15,22,11.0,Female,1,unknown,unknown,B Major,98,55,40,18,7 dB,3,0,8,4,unknown,unknown,0,4,0,0,8.0,15.0,4.0,110.0,,110.0,0,unknown,0
2023,Cyprus,58,68,126,0,0,1,Andrew Lambrou,Break a Broken Heart,English,Ballad,2,6,7,12.0,Male,1,unknown,unknown,Eb Minor,130,74,43,43,4 dB,6,0,19,4,unknown,unknown,0,0,0,0,11.0,17.0,7.0,94.0,,94.0,0,unknown,0
2023,Croatia,112,11,123,0,0,0,Let 3,Mama äC!,Croatian,Pop,1,7,25,13.0,Male,1,unknown,unknown,C Major,135,78,60,63,7 dB,16,0,21,9,unknown,unknown,0,4,0,0,20.0,2.0,8.0,76.0,,76.0,0,unknown,0
2023,Armenia,53,69,122,0,0,1,Brunette,Future Lover,"English,†Armenian",Ballad,2,2,17,14.0,Female,1,unknown,unknown,D Minor,103,44,56,24,11 dB,89,0,10,4,unknown,unknown,0,0,0,0,10.0,15.0,6.0,99.0,,99.0,0,unknown,0
2023,Austria,16,104,120,0,0,1,Teya†and†Salena,Who the Hell Is Edgar?,English,Pop,2,13,1,15.0,Female,2,unknown,unknown,B Minor,146,64,69,51,8 dB,2,0,10,6,unknown,unknown,4,0,0,0,4.0,18.0,2.0,137.0,,137.0,0,unknown,0
2023,France,50,54,104,0,1,1,La Zarra,…videmment,French,Ballad,2,-,6,16.0,Female,1,unknown,unknown,B Major,120,75,73,23,5 dB,12,0,8,7,unknown,unknown,0,0,0,0,17.0,10.0,,,,125.5,0,unknown,0
2023,Spain,5,95,100,0,1,1,Blanca Paloma,Eaea,Spanish,Traditional,2,-,8,17.0,Female,1,unknown,unknown,F Minor,116,73,61,26,4 dB,7,0,39,4,unknown,unknown,5,0,0,0,2.0,21.0,,,,125.5,0,unknown,0
2023,Moldova,76,20,96,0,0,1,Pasha Parfeni,Soarele si luna,Romanian,Traditional,1,10,18,18.0,Male,1,unknown,unknown,Ab Major,125,86,62,34,5 dB,36,0,18,14,unknown,unknown,0,2,3,0,17.0,4.0,5.0,109.0,,109.0,0,unknown,0
2023,Poland,81,12,93,0,0,1,Blanka,Solo,English,Pop,2,9,4,19.0,Female,1,unknown,unknown,B Minor,99,64,90,72,7 dB,18,0,12,4,unknown,unknown,4,0,0,0,17.0,5.0,3.0,124.0,,124.0,0,unknown,0
2023,Switzerland,31,61,92,0,0,1,Remo Forrer,Watergun,English,Ballad,1,8,3,20.0,Male,1,unknown,unknown,Ab Minor,130,87,68,39,5 dB,48,0,18,7,unknown,unknown,4,0,0,0,10.0,15.0,7.0,97.0,,97.0,0,unknown,0
2023,Slovenia,45,33,78,0,0,1,Joker Out,Carpe Diem,Slovene,Rock,2,10,24,21.0,Male,1,unknown,unknown,Cs Minor,132,66,69,56,9 dB,1,0,10,4,unknown,unknown,0,0,4,0,11.0,6.0,5.0,103.0,,103.0,0,unknown,0
